City,State,2020census,Change,2020 population density
Temecula,California,110003,+9.90%,2949
Fremont,California,230504,+7.67%,2944
Frisco,Texas,200509,+71.39%,2923
McKinney,Texas,195308,+48.96%,2915
Fairfield,California,119881,+13.82%,2882
Lansing,Michigan,112644,−1.45%,2881
San Antonio,Texas,1434625,+8.08%,2876
Sandy Springs,Georgia,108080,+15.16%,2867
Charlotte,North Carolina,874579,+19.57%,2837
Boise,Idaho,235684,+14.59%,2806
Killeen,Texas,153095,+19.68%,2794
Orlando,Florida,307573,+29.07%,2781
Provo,Utah,115162,+2.38%,2762
Sugar Land,Texas,111026,+40.87%,2741
Spokane Valley,Washington,102976,+14.73%,2731
Grand Prairie,Texas,196100,+11.80%,2701
Newport News,Virginia,186247,+3.06%,2699
Bakersfield,California,403455,+16.11%,2693
Hampton,Virginia,137148,−0.21%,2663
Fort Worth,Texas,918915,+23.98%,2646
Baton Rouge,Louisiana,227470,−0.88%,2636
El Paso,Texas,678815,+4.57%,2627
Overland Park,Kansas,197238,+13.77%,2623
Billings,Montana,117116,+12.43%,2614
North Las Vegas,Nevada,262527,+21.00%,2592
Pearland,Texas,125828,+37.89%,2584
Fargo,North Dakota,125990,+19.37%,2530
Durham,North Carolina,283506,+24.17%,2513
Evansville,Indiana,117298,−0.11%,2475
Dayton,Ohio,137644,−2.74%,2467
South Bend,Indiana,103453,+2.26%,2463
Indianapolis,Indiana,887642,+8.19%,2455
Wichita,Kansas,397532,+3.97%,2454
Colorado Springs,Colorado,478961,+15.02%,2451
Jurupa Valley,California,105053,+11.48%,2449
Sioux Falls,South Dakota,192517,+25.10%,2434
Murfreesboro,Tennessee,152769,+40.47%,2429
Reno,Nevada,264165,+17.29%,2428
Des Moines,Iowa,214133,+5.26%,2428
Aurora,Colorado,386261,+18.82%,2413
Louisville,Kentucky,633045,+5.98%,2402
Laredo,Texas,255205,+8.10%,2396
Fort Wayne,Indiana,263886,+4.02%,2384
Green Bay,Wisconsin,107395,+3.21%,2360
Peoria,Illinois,113150,−1.61%,2357
College Station,Texas,120511,+28.40%,2354
Roanoke,Virginia,100011,+3.07%,2353
Joliet,Illinois,150362,+1.99%,2331
Greensboro,North Carolina,299035,+10.89%,2307
Rockford,Illinois,148655,−2.76%,2305
Thousand Oaks,California,126966,+0.22%,2296
McAllen,Texas,142210,+9.50%,2283
Olathe,Kansas,141290,+12.25%,2283
