Cities,Records,Median Salary
ASTORIA,2,83000
URBANDALE,2,100500
PLYMOUTH,2,87415
WEST+SACRAMENTO,2,83179
DUARTE,2,93277.5
PULLMAN,2,98330.5
SAUSALITO,2,76000
CLEVELAND,2,89010.5
MUNDELEIN,2,82500
FARMINGTON+HILLS,2,75000
MILWAUKIE,2,75000
STONY+BROOK,2,75000
WESTON,2,78009
MADISON,2,94283
WINSTON-SALEM,2,73868.5
MORRISVILLE,2,88057
THE+WOODLANDS,2,93500
SMITHFIELD,2,90812.5
ROCHESTER,2,69974.13
O%27FALLON,2,77634
LYNWOOD,2,71625
SCARSDALE,2,95010.5
URBANA,2,67267
RANCHO+CORDOVA,2,71000
MILLERSBURG,2,78374
CUYAHOGA+FALLS,2,65925.5
MCDONOUGH,2,62103
SUITE+310A,2,61000
COSTA+MESA,2,102658.775
SANTA+FE+SPRINGS,2,57325
HOLLYWOOD,2,84831
NORTON+SHORES,2,53259
SOUTH+BARRINGTON,2,60500
OSHKOSH,2,49920
MANCHESTER,2,55249
COMMERCE,2,36600
